Country,Clicks,Impressions,CTR,Position
United States,13,21454,0.06%,20.93
Germany,7,533,1.31%,19.44
India,4,690,0.58%,20.64
Japan,2,149,1.34%,10.39
United Kingdom,1,2360,0.04%,20.69
Canada,1,847,0.12%,20.65
Australia,1,474,0.21%,34.23
Netherlands,1,460,0.22%,16.69
Turkey,1,224,0.45%,18.59
Thailand,1,224,0.45%,24.46
Vietnam,1,198,0.51%,18.37
Singapore,1,170,0.59%,18.85
Mexico,1,159,0.63%,13.69
Israel,1,136,0.74%,23.95
Sweden,1,129,0.78%,26.8
Ukraine,1,83,1.2%,14.14
Denmark,1,75,1.33%,17.01
Switzerland,1,65,1.54%,9.08
Bulgaria,1,29,3.45%,10.79
Panama,1,16,6.25%,8.19
South Sudan,1,1,100%,8
Philippines,0,449,0%,26.71
Brazil,0,431,0%,10.61
Spain,0,409,0%,20.16
France,0,341,0%,14.04
Saudi Arabia,0,334,0%,22.7
Italy,0,294,0%,19.34
South Korea,0,174,0%,10.75
Indonesia,0,174,0%,18.82
United Arab Emirates,0,165,0%,36.78
Malaysia,0,163,0%,21.85
Bangladesh,0,159,0%,23.18
Portugal,0,143,0%,18.83
Egypt,0,136,0%,24.32
Oman,0,122,0%,23.89
Colombia,0,115,0%,20.3
Pakistan,0,113,0%,22.67
Ireland,0,107,0%,29.93
Belgium,0,95,0%,8.39
Nigeria,0,91,0%,23.22
Peru,0,90,0%,18.38
Argentina,0,81,0%,9.15
Algeria,0,79,0%,15.63
Morocco,0,79,0%,20.72
Poland,0,78,0%,13.64
South Africa,0,78,0%,28.01
Venezuela,0,71,0%,21.15
Trinidad & Tobago,0,68,0%,17.79
Ecuador,0,60,0%,15.5
Romania,0,49,0%,9.27
Norway,0,49,0%,10.96
Ethiopia,0,47,0%,24.6
New Zealand,0,47,0%,31.98
Austria,0,46,0%,11.98
Hong Kong,0,41,0%,33.95
Finland,0,38,0%,6.76
Taiwan,0,34,0%,12.41
Russia,0,33,0%,29
Chile,0,31,0%,11.58
Serbia,0,28,0%,10.89
Jamaica,0,24,0%,6.71
Kenya,0,23,0%,9.09
Greece,0,22,0%,7.91
Czechia,0,22,0%,8
Hungary,0,22,0%,10.68
Barbados,0,20,0%,8.55
Dominican Republic,0,19,0%,10.32
Slovakia,0,19,0%,12.11
Georgia,0,18,0%,7.33
Iraq,0,18,0%,7.61
Lithuania,0,18,0%,7.83
Uruguay,0,18,0%,26.17
Qatar,0,18,0%,33
Cyprus,0,17,0%,7.65
Croatia,0,17,0%,8.06
Nepal,0,16,0%,6.44
Costa Rica,0,16,0%,7.88
Belarus,0,16,0%,17.62
Tunisia,0,14,0%,6.57
Jordan,0,13,0%,10.77
Puerto Rico,0,13,0%,10.77
Slovenia,0,13,0%,13.85
Luxembourg,0,12,0%,7.42
Ghana,0,12,0%,7.92
Albania,0,12,0%,8.5
Moldova,0,12,0%,14.58
Bahamas,0,11,0%,11.18
Uzbekistan,0,10,0%,6.6
Iceland,0,10,0%,8.2
Honduras,0,10,0%,11.4
Lebanon,0,9,0%,6.33
Paraguay,0,9,0%,7.11
Malta,0,9,0%,7.44
Latvia,0,9,0%,11
Palestine,0,8,0%,6.62
Estonia,0,8,0%,7.12
Azerbaijan,0,8,0%,7.5
Bosnia & Herzegovina,0,8,0%,8.25
China,0,8,0%,8.25
Syria,0,8,0%,13.88
Nicaragua,0,8,0%,15.12
Kazakhstan,0,7,0%,6.43
Mongolia,0,7,0%,7.71
Guatemala,0,7,0%,12.43
Libya,0,6,0%,6.67
El Salvador,0,6,0%,17.17
Macedonia,0,5,0%,3.6
St. Kitts & Nevis,0,5,0%,7.2
Sri Lanka,0,5,0%,12.4
Kuwait,0,4,0%,6.25
Maldives,0,4,0%,7.25
Armenia,0,4,0%,7.5
US Virgin Islands,0,4,0%,7.75
Yemen,0,4,0%,8.5
Bahrain,0,4,0%,10.25
Namibia,0,3,0%,5.67
Antigua & Barbuda,0,3,0%,6
Suriname,0,3,0%,7.67
Angola,0,3,0%,8
Belize,0,3,0%,8.33
Bolivia,0,3,0%,9
Senegal,0,3,0%,9.33
Zimbabwe,0,3,0%,25.33
Western Sahara,0,3,0%,26.67
Isle of Man,0,2,0%,2.5
Botswana,0,2,0%,5
Cambodia,0,2,0%,6
Zambia,0,2,0%,7
Guernsey,0,2,0%,7.5
Guyana,0,2,0%,8
St. Lucia,0,2,0%,8.5
Montenegro,0,2,0%,8.5
Bermuda,0,2,0%,9
Guinea,0,2,0%,10
British Virgin Islands,0,2,0%,10
Cameroon,0,2,0%,10.5
Grenada,0,2,0%,10.5
Cayman Islands,0,1,0%,1
Gabon,0,1,0%,1
Tanzania,0,1,0%,1
Madagascar,0,1,0%,2
Kyrgyzstan,0,1,0%,4
Kosovo,0,1,0%,4
Burkina Faso,0,1,0%,5
Papua New Guinea,0,1,0%,5
Somalia,0,1,0%,5
Togo,0,1,0%,5
Malawi,0,1,0%,6
Rwanda,0,1,0%,6
St. Martin,0,1,0%,7
Caribbean Netherlands,0,1,0%,8
Gibraltar,0,1,0%,8
St. Vincent & Grenadines,0,1,0%,8
Aruba,0,1,0%,9
Congo - Brazzaville,0,1,0%,9
Unknown Region,0,1,0%,9
Mauritania,0,1,0%,10
Réunion,0,1,0%,10
Tajikistan,0,1,0%,10
Côte d’Ivoire,0,1,0%,11
Macau,0,1,0%,11
Niger,0,1,0%,13
Myanmar (Burma),0,1,0%,14
Guadeloupe,0,1,0%,15
Burundi,0,1,0%,19
Sudan,0,1,0%,19
Congo - Kinshasa,0,1,0%,20
Uganda,0,1,0%,29
Benin,0,1,0%,39
Anguilla,0,1,0%,46
Mauritius,0,1,0%,60
