Date,Not indexed,Indexed,Impressions
2025-12-30,,,0
2025-12-31,,,0
2026-01-01,,,0
2026-01-02,,,0
2026-01-03,8,1,2
2026-01-04,145,1,12
2026-01-05,145,1,2
2026-01-06,145,1,2
2026-01-07,266,14,4
2026-01-08,266,14,3
2026-01-09,266,14,40
2026-01-10,266,14,82
2026-01-11,8183,546,58
2026-01-12,8183,546,981
2026-01-13,8183,546,2900
2026-01-14,8579,15972,3111
2026-01-15,8579,15972,3627
2026-01-16,8579,15972,3563
2026-01-17,8579,15972,2507
2026-01-18,15759,19020,3143
2026-01-19,15759,19020,4820
2026-01-20,15759,19020,5570
2026-01-21,15647,19130,5413
2026-01-22,15647,19130,5642
2026-01-23,15647,19130,4546
2026-01-24,15647,19130,5210
2026-01-25,15645,19135,4664
2026-01-26,15645,19135,6376
2026-01-27,15645,19135,5739
