Country,Clicks,Impressions,CTR,Position
United States,23,43000,0.05%,19.82
Kenya,12,84,14.29%,5.68
Germany,7,1066,0.66%,18.22
United Kingdom,6,4651,0.13%,19.59
India,5,1263,0.4%,19.35
Australia,3,934,0.32%,31.22
France,3,645,0.47%,14.68
Japan,3,327,0.92%,11.25
Singapore,3,319,0.94%,18.97
Canada,2,1721,0.12%,19.69
Turkey,2,342,0.58%,14.83
Sweden,2,264,0.76%,23.59
Poland,2,180,1.11%,11.85
Netherlands,1,947,0.11%,16.5
Spain,1,762,0.13%,19.17
Thailand,1,525,0.19%,24.21
Vietnam,1,406,0.25%,19
Mexico,1,360,0.28%,12.64
Israel,1,294,0.34%,25.92
Ireland,1,225,0.44%,26.09
Nigeria,1,192,0.52%,25.21
South Africa,1,163,0.61%,27.51
Belgium,1,160,0.62%,8.9
Ukraine,1,145,0.69%,12.33
Switzerland,1,139,0.72%,14.06
Denmark,1,125,0.8%,16.76
New Zealand,1,98,1.02%,30.27
Austria,1,94,1.06%,13.53
Bulgaria,1,50,2%,9.68
Serbia,1,44,2.27%,11.7
Panama,1,37,2.7%,7.51
South Sudan,1,1,100%,8
Philippines,0,864,0%,26.18
Brazil,0,856,0%,10.53
Italy,0,605,0%,19.64
Saudi Arabia,0,557,0%,22.41
United Arab Emirates,0,351,0%,37.52
South Korea,0,333,0%,11.29
Indonesia,0,273,0%,15.12
Egypt,0,273,0%,23.34
Portugal,0,257,0%,17.06
Malaysia,0,254,0%,20.28
Bangladesh,0,245,0%,22.05
Oman,0,227,0%,24.58
Colombia,0,209,0%,18.65
Pakistan,0,177,0%,22.32
Argentina,0,157,0%,8.85
Peru,0,157,0%,18.01
Morocco,0,132,0%,15.15
Algeria,0,130,0%,12.19
Trinidad & Tobago,0,128,0%,19.11
Venezuela,0,102,0%,16.5
Ecuador,0,99,0%,12.52
Romania,0,95,0%,12.29
Norway,0,91,0%,9.45
Hong Kong,0,85,0%,34.91
Finland,0,81,0%,9.26
Taiwan,0,73,0%,10.64
Chile,0,71,0%,8.96
Russia,0,70,0%,23.93
Ethiopia,0,58,0%,21.28
Hungary,0,51,0%,10.82
Czechia,0,50,0%,8.54
Jamaica,0,45,0%,7.27
Puerto Rico,0,42,0%,8.05
Greece,0,41,0%,7.98
Lithuania,0,41,0%,8.12
Barbados,0,37,0%,7.89
Iraq,0,36,0%,6.83
Cyprus,0,36,0%,7.67
Dominican Republic,0,36,0%,9.97
Uruguay,0,35,0%,20.03
Tunisia,0,34,0%,9.76
Qatar,0,34,0%,32.82
Albania,0,31,0%,7.13
Georgia,0,31,0%,7.45
Costa Rica,0,31,0%,7.74
Jordan,0,31,0%,9.65
Bahamas,0,28,0%,9.04
Slovakia,0,28,0%,10.25
Kazakhstan,0,27,0%,7.67
Malta,0,26,0%,7.5
Croatia,0,26,0%,8.15
Belarus,0,26,0%,14.62
